id,country,state,name,is_active
15788,104,1208,Sangamner,1
15787,104,1199,Kasol,1
15786,104,1194,Diu,1
15785,104,1194,Daman,1
15784,104,1188,Machilipatnam,1
15783,104,1200,Bahadurgarh,1
15782,104,1224,Kanpur,1
15781,32,1,New test city,1
15780,104,1198,Mahuva,1
15779,1,1,master,1
15777,104,1189,TEST,1
15776,104,1189,TEST,1
15775,104,1187,TEST,1
15774,170,2615,`Ibri,1
15773,251,4866,`Ataq,1
15772,196,3161,`Ar`ar,1
15771,251,4872,`Amran,1
15770,115,1557,`Ajlun,1
15769,184,3087,Zyryanka,1
15768,157,2485,Zwolle,1
15767,126,1933,Zwedru,1
15766,203,3334,Zvolen,1
15765,255,4889,Zvishavane,1
15764,184,2993,Zvezdnyy,1
15763,119,1653,Zvecan,1
15762,204,3553,Zuzemberk,1
15761,127,1951,Zuwarah,1
15760,138,2248,Zurrieq,1
15759,219,3776,Zurich,1
15758,45,569,Zunyi,1
15757,241,4644,Zuni Pueblo,1
15756,104,1214,Zunheboto,1
15755,144,2281,Zumpango,1
15754,83,1113,Zugdidi,1
15753,219,3775,Zug,1
15752,119,1652,Zubin Potok,1
15751,132,2116,Zrnovci,1
15750,198,3316,Zrenjanin,1
15749,204,3528,Zrece,1
15748,141,2263,Zouerate,1
15747,43,530,Zouar,1
15746,35,399,Zorgo,1
15745,232,4038,Zonguldak,1
15744,50,698,Zongo,1
15743,237,4243,Zombo,1
15742,134,2154,Zomba,1
15741,184,2976,Zmeinogorsk,1
15740,57,784,Zlin,1
15739,184,2992,Zlatoust,1
15738,198,3328,Zitorada,1
15737,198,3327,Zitiste,1
15736,204,3552,Zirovnica,1
15735,204,3551,Ziri,1
15734,241,4625,Zionsville,1
15733,241,4624,Zion,1
15732,251,4853,Zinjibar,1
15731,35,399,Ziniare,1
15730,163,2536,Zinder,1
15729,241,4634,Zimmerman,1
15728,184,3000,Zima,1
15727,123,1835,Zilupe,1
15726,127,1946,Zillah,1
15725,203,3341,Zilina,1
15724,197,3183,Ziguinchor,1
15723,45,587,Zigong,1
15722,179,2845,Zielona Gora,1
15721,45,584,Zibo,1
15720,238,4266,Zhytomyr,1
15719,45,575,Zhuzhou,1
15718,45,571,Zhuozhou,1
15717,45,567,Zhuhai,1
15716,222,3793,Zhubei,1
15715,45,580,Zhuanghe,1
15714,45,573,Zhoukou,1
15713,116,1569,Zhosaly,1
15712,222,3808,Zhongli,1
15711,116,1559,Zholymbet,1
15710,171,2625,Zhob,1
15709,116,1568,Zhitiqara,1
15708,184,3087,Zhilinda,1
15707,45,575,Zhijiang,1
15706,184,3087,Zhigansk,1
15705,116,1567,Zhezqazghan,1
15704,45,577,Zhenjiang,1
15703,45,573,Zhengzhou,1
15702,25,296,Zhemgang,1
15701,184,3000,Zheleznogorsk-Ilimskiy,1
15700,184,3035,Zheleznogorsk,1
15699,116,1558,Zharkent,1
15698,45,591,Zhaotong,1
15697,45,567,Zhaoqing,1
15696,45,572,Zhaodong,1
15695,45,567,Zhanjiang,1
15694,116,1563,Zhanibek,1
15693,45,565,Zhangzhou,1
15692,45,566,Zhangye,1
15691,45,571,Zhangjiakou Shi Xuanhua Qu,1
15690,45,571,Zhangjiakou,1
15689,45,587,Zhanggu,1
15688,116,1564,Zhangaozen,1
15687,116,1559,Zhaltyr,1
15686,204,3397,Zgornje Jezersko,1
15685,204,3379,Zgornje Gorje,1
15684,204,3415,Zgornja Kungota,1
15683,184,2977,Zeya,1
15682,204,3550,Zetale,1
15681,241,4617,Zephyrhills South,1
15680,241,4617,Zephyrhills,1
15679,28,306,Zenica,1
15678,184,3087,Zemlya Bunge,1
15677,42,509,Zemio,1
15676,132,2121,Zelino,1
15675,204,3549,Zelezniki,1
15674,184,3093,Zelenokumsk,1
15673,184,3095,Zelenodol'sk,1
15672,132,2115,Zelenikovo,1
15671,138,2247,Zejtun,1
15670,241,4633,Zeeland,1
15669,241,4639,Zebulon,1
15668,138,2246,Zebbug,1
15667,138,2245,Zebbug,1
15666,204,3527,Zavrc,1
15665,231,3971,Zarzis,1
15664,164,2555,Zaria,1
15663,1,28,Zarghun Shahr,1
15662,15,226,Zardab,1
15661,245,4714,Zaraza,1
15660,10,124,Zarate,1
15659,129,2031,Zarasai,1
15658,1,23,Zaranj,1
15657,243,4690,Zarafshon Shahri,1
15656,15,224,Zaqatala,1
15655,238,4265,Zaporizhzhya,1
15654,10,137,Zapala,1
15653,45,584,Zaozhuang,1
15652,184,3033,Zaozernyy,1
15651,224,3844,Zanzibar,1
15650,106,1287,Zanjan,1
15649,15,225,Zangilan,1
15648,241,4647,Zanesville,1
15647,66,856,Zamora,1
15646,177,2839,Zamboanga City,1
15645,254,4879,Zambezi,1
15644,214,3680,Zalingei,1
15643,204,3548,Zalec,1
15642,183,2950,Zalau,1
15641,45,576,Zalantun,1
15640,107,1299,Zakhu,1
15639,198,3315,Zajecar,1
15638,124,1913,Zahle,1
15637,104,1222,Zahirabad,1
15636,106,1284,Zahedan,1
15635,198,3326,Zagubica,1
15634,53,749,Zagreb,1
15633,204,3526,Zagorje ob Savi,1
15632,231,3980,Zaghouan,1
15631,53,748,Zadar,1
15630,241,4628,Zachary,1
15629,68,968,Zacatecoluca,1
15628,144,2298,Zacatecas,1
15627,106,1284,Zabol,1
15626,149,2414,Zabljak,1
15625,251,4858,Zabid,1
15624,138,2244,Zabbar,1
15623,198,3325,Zabari,1
15622,198,3324,Zabalj,1
15621,184,3088,Yuzhno-Sakhalinsk,1
15620,45,591,Yuxi,1
15619,184,3026,Yurga,1
15618,45,574,Yunxian Chengguanzhen,1
15617,237,4242,Yumbe,1
15616,241,4611,Yuma,1
15615,45,583,Yulinshi,1
15614,45,568,Yulin,1
15613,241,4617,Yulee,1
